"","Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Êtes vous ...","Quel âge avez-vous ?","Vous êtes ...","Veuillez préciser votre niveau d'étude","Par votre milieu professionnel","Par votre milieu scolaire, étudiant","Par vos proches","Par hasard et au gré de vos navigations sur Internet","Par Wikipédia","Autre...19","Veuillez préciser...20","Dans le cadre scolaire à la maison (devoirs, révisions etc.)","Dans le cadre scolaire en classe (en cours, club etc.)","Pour ma culture générale","Pour le travail","Pour mon simple loisir","Autre...26","Veuillez préciser...27","Quel est votre degré de contribution ?","Qu'est ce qui vous a motivé à contribuer pour la première fois ?","Je me plais au sein de la communauté","J'ai des responsabilités","Les domaines abordés m'intéressent","J'aime contribuer au projet Vikidia","Autre...34","Veuillez préciser...35","De la patrouille","Des ajouts sur la partie technique","Des corrections orthographiques ou typographiques","Des travaux de catégorisation et d'ajout de portail","Des créations ou améliorations d'articles","De l'aide aux nouveaux utilisateurs","Autre...42","Veuillez préciser...43","Patrouilleur","Administrateur","Bureaucrate","Vérificateur d'IP","Nuker","Plus maintenant","Trouvez-vous les articles de Vikidia accessibles ?","Les articles y sont plus faciles à comprendre","Vikidia est plus adaptée à mon niveau/âge","Je préfère l'ambiance au sein de la communauté vikidienne","La communauté vikidienne est de plus petite taille","Je consulte peu Vikidia, je suis surtout contributeur","Je préfère Wikipédia","Autre...57","Veuillez préciser...58","Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?","Quel est votre niveau de confiance en ce qui concerne la fiabilité des articles de Vikidia ?","Que pensez-vous des pages d'aide ?","Veuillez préciser...62","La qualité des articles","L'accessibilité des sujets traités","La qualité et la pertinence des illustrations","La diversité des sujets traités","La qualité synthaxique et typographique","Le projet Vikidia en général","Non","Il m'arrive de parler de mes découvertes sur l'encyclopédie","Je recommande le site à mes proches","Autre...72","Veuillez préciser...73","Selon vous, comment Vikidia est-elle perçue par le grand public ?","Veuillez préciser...75","Pensez vous que les Wikipédiens vous infantilisent à cause de votre contribution à Vikidia ?","Vikidia a-t-elle des répercutions positives ou négatives sur votre vie ?","Avez-vous déjà fait un don à Vikidia ?","Pourquoi ?...79","Pourquoi ?...80","En quelle année avez-vous rejoint la communauté Vikidienne ?","Comment avez-vous jugé votre accueil sur Vikidia ?","Veuillez préciser...83","Vous sentez-vous suffisamment intégré à la communauté vikidienne ?","Veuillez préciser...85","Comment évaluez vous votre participation aux canaux de discussion ?","Discord","Les Bavardages","IRC","Les pages de discussion","Autres canaux de discussion","Veuillez préciser...92","Avez-vous des points d'amélioration à suggérer pour le projet Vikidia ? (Réponse optionnelle)","Avez-vous des points d'amélioration sur le fonctionnement de l'association Vikidia ? (Réponse optionnelle)","is_contrib","activite","annee","motivations_contrib","alternatives"
"438",442,9502842,"12/09/2021 - 12:34","12/09/2021 - 12:34","12/09/2021 - 12:34",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,"X","X","X",NA,NA,NA,NA,"google","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Très bonne","Très bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Très bien","Non",NA,"je n'ai pas envie","en 2020","Bon",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au collège","2020",NA,"google"
"439",443,9502858,"12/09/2021 - 12:37","12/09/2021 - 12:37","12/09/2021 - 12:37",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,"X",NA,"X",NA,NA,"Wikipédia","Les articles de Vikidia sont tout à fait fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Très bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Personne ne connaît Vikidia en dehors de la communauté",NA,"Non","...","Non",NA,"...","Aucune","Laisse à désirer","Aucun accueil","Non","Pas du tout","Quels canaux de discussion ??",NA,NA,NA,NA,"X","Je suis que sur le discord des projets Wikimedia francophones","Améliorer la version mobile, la rendre plus ressemblante à Wikipédia Francophone Mobile",NA,"0","Élève au lycée",NA,NA,"wikipedia"
"440",444,9502859,"12/09/2021 - 12:38","12/09/2021 - 12:38","12/09/2021 - 12:38",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"A contribué une ou deux fois",NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,"X",NA,NA,"Autres sites","Les informations trouvées sur Vikidia sont à prendre avec précaution","Il existe des pages d'aide ??",NA,"Moyenne","Très bonne","Plutôt bonne","Plutôt bonne","Moyenne","Très bonne","X",NA,"X",NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Plutôt positives, sans plus","Non",NA,"Choix personnel",NA,"Moyen",NA,"Non","Ce n'est pas mon objectif","Quels canaux de discussion ??",NA,NA,NA,NA,"X","Aucun canal",NA,NA,"1","Élève au lycée",NA,NA,"autres sites"
"441",445,9502921,"12/09/2021 - 12:51","12/09/2021 - 12:51","12/09/2021 - 12:51",0,"0.0.0.0",0,"Anonymous","féminin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,"X","C'est plus adapté pour les enfants (d'age scolaire et collège) que j'aide régulièrement à la maison et au travail.","wikipédia ou internet selon les sujets...","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Très bonne","Plutôt bonne","Plutôt bonne","Très bonne",NA,NA,"X","X","et à mes élèves","Vikidia devrait gagner en popularité",NA,"Non","Je ne comprends pas cette question. Vikidia est très utile pour les jeunes enfants mais de là à parler de répercutions positives...","Non",NA,"Je l'ai fait à Wikipédia.","2018","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,"X",NA,NA,"X","la bavardages oraux !!!",NA,NA,"0","En activité","2018",NA,"wikipedia ou internet selon les sujets..."
"442",446,9503414,"12/09/2021 - 14:56","12/09/2021 - 14:56","12/09/2021 - 14:56",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont tout à fait fiables","Elles sont suffisamment claires",NA,"Très bonne","Très bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Très bonne",NA,"X","X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Accroissement des connaissances","Non",NA,"L'occasion ne s'est pas présentée","2019","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,NA,NA,"0","Élève au collège","2019",NA,"wikipedia"
"443",447,9503416,"12/09/2021 - 14:56","12/09/2021 - 14:56","12/09/2021 - 14:56",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Très bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","bonnes repercussions","Non",NA,"pas de sous","jsp","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","je ne l'utilise pas",NA,NA,"0","Élève au lycée",NA,NA,"wikipedia"
"444",448,9503421,"12/09/2021 - 14:59","12/09/2021 - 14:59","12/09/2021 - 14:59",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 8 et 13 ans","Étudiant, élève","Lycée",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,"X",NA,NA,"Autre site","Les informations trouvées sur Vikidia sont à prendre avec précaution","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne","Plutôt mauvaise","Moyenne","X",NA,NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","Elle n'en a pas","Non",NA,"Je n'ai pas envie","Je ne sais plus","Moyen",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,"X","X",NA,NA,NA,NA,"0","Élève au lycée",NA,NA,"autre site"
"445",449,9503454,"12/09/2021 - 15:06","12/09/2021 - 15:06","12/09/2021 - 15:06",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia pour la première fois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"WIKIPEDIA","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Très bonne","Plutôt bonne","Plutôt bonne","Très bonne","Plutôt bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Super","Non",NA,"je ne sais pas","2020","Bon",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au lycée","2020",NA,"wikipedia"
"446",450,9503539,"12/09/2021 - 15:24","12/09/2021 - 15:24","12/09/2021 - 15:24",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Lycée",NA,NA,NA,"X",NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"wiki","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","pas vraiment","Non",NA,"pas les moyens",NA,"Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au lycée",NA,NA,"wiki"
"447",451,9503708,"12/09/2021 - 15:56","12/09/2021 - 15:56","12/09/2021 - 15:56",0,"0.0.0.0",0,"Anonymous","masculin","Entre 19 et 25 ans","En recherche d'emploi",NA,NA,NA,NA,"X","X",NA,NA,NA,NA,"X",NA,"X",NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X",NA,NA,NA,"X",NA,NA,"Beaucoup wikipédia","Les articles de Vikidia sont tout à fait fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Plutôt bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Positif elle me sert à me cultiver, découvrir et apprendre","Non",NA,"Pas la possibilité pour moi de donner",NA,"Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","En recherche d'emploi",NA,NA,"beaucoup wikipedia"
"448",452,9503718,"12/09/2021 - 15:58","12/09/2021 - 15:58","12/09/2021 - 15:58",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia pour la première fois","Perce que j'avais envie.",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Plutôt accessibles",NA,"X",NA,NA,NA,"X",NA,NA,"Sur Wikipédia.","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Moyenne","Très bonne","X",NA,NA,NA,NA,"Personne ne connaît Vikidia en dehors de la communauté",NA,"Non","Plutot positive sur ma vie","Non",NA,"Perce que je viens de commencer sur Vikidia","2021","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,"X",NA,NA,NA,NA,"NON","non","0","Élève au collège","2021",NA,"sur wikipedia."
"449",453,9503822,"12/09/2021 - 16:24","12/09/2021 - 16:24","12/09/2021 - 16:24",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"wikipedia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Très bonne","Plutôt bonne","Plutôt bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","plutôt bien pour mes devoirs","Non",NA,"je suis mineure","2019","Moyen",NA,"Non","je n'ai pas l'impression d'intégrer une communauté","Quels canaux de discussion ??",NA,NA,NA,NA,"X","whatsapp","plusieurs niveaux d'accessibilité selon l'âge ? Certains articles me paraissent trop simples ou pas assez complets","se faire mieux connaître","0","Élève au collège","2019",NA,"wikipedia"
"450",454,9503973,"12/09/2021 - 17:06","12/09/2021 - 17:06","12/09/2021 - 17:06",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Préfère ne pas le dire","Étudiant, élève","Collège",NA,"X",NA,NA,"X",NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,"X",NA,NA,NA,NA,NA,NA,"Sur Wikipédia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Moyenne","Très bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Non, elle n'en a aucune","Non",NA,"je n'ai pas envie",NA,"Bon",NA,"Non","je ne fais pas partie de la communauté vikidienne","Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","skype",NA,NA,"0","Élève au collège",NA,NA,"sur wikipedia"
"451",455,9504199,"12/09/2021 - 17:49","12/09/2021 - 17:49","12/09/2021 - 17:49",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Très bonne","Plutôt bonne","Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne",NA,"X",NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Oui","Jamais","Non",NA,"Parce que","2017","Bon",NA,"Non","Pas très impliqué","Je les connais mais je n'y ai jamais participé","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au collège","2017",NA,"wikipedia"
"452",456,9504397,"12/09/2021 - 18:26","12/09/2021 - 18:26","12/09/2021 - 18:26",0,"0.0.0.0",0,"Anonymous","féminin","Entre 19 et 25 ans","Étudiant, élève","Études supérieures",NA,NA,NA,"X","X",NA,NA,"X",NA,"X",NA,"X",NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,"X",NA,NA,"Wikipédia","Les informations trouvées sur Vikidia sont à prendre avec précaution","Il existe des pages d'aide ??",NA,"Moyenne","Moyenne","Moyenne","Moyenne","Moyenne","Moyenne","X",NA,NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Oui","aucune, à la base je cherchais juste une biographie claire, courte et rapide de Charlemagne ce que j'ai plus facilement avec vikidia qu'avec wikipédia","Non",NA,"parce que",NA,"Moyen",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Étudiant",NA,NA,"wikipedia"
"453",457,9504716,"12/09/2021 - 19:15","12/09/2021 - 19:15","12/09/2021 - 19:15",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,"X","X",NA,NA,NA,"Contribue une fois par mois ou moins",NA,"X",NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"Pas du tout accessibles",NA,NA,NA,"X",NA,NA,NA,NA,"jkfyjfjfchfgc","Je me méfie des informations que je trouve sur Vikidia","Je ne les trouve pas utiles",NA,"Plutôt mauvaise","Moyenne","Très bonne","Très bonne","Plutôt bonne","Plutôt bonne",NA,"X","X",NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","uhjk","Oui","kjkjgjh",NA,"khfkhdjs","Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,"cfc","fvb","1","Élève au collège",NA,NA,"jkfyjfjfchfgc"
"454",458,9504990,"12/09/2021 - 19:59","12/09/2021 - 19:59","12/09/2021 - 19:59",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,"X",NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipédia","Les informations trouvées sur Vikidia ne sont pas toujours fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Très bonne","Plutôt bonne","Moyenne","Très bonne",NA,NA,"X","X","je cite les sites sur lesquels j'ai trouvé mes informations","Vikidia est peu connue, et le grand public en est méfiant",NA,"Oui","aucunes répercutions","Non",NA,"je n'ai pas d'argent","2015","Bon",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","Aucuns",NA,NA,"0","Élève au collège","2015",NA,"wikipedia"
"455",459,9505325,"12/09/2021 - 20:48","12/09/2021 - 20:48","12/09/2021 - 20:48",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,"X",NA,NA,NA,NA,"sur Wikipédia","Les articles de Vikidia sont tout à fait fiables","Il existe des pages d'aide ??",NA,"Très bonne","Très bonne","Plutôt bonne","Très bonne","Très bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Oui","des valeurs bonnes","Non",NA,"Je n'étais pas au courant que l'on pouvait faire un don à Vikidia.","En 2021 je pense","Moyen",NA,"Non","Je ne sais pas ce qu'est la communauté vikidienne.","Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,"J'ignorais la page de discussion et d'autres choses et il serait de le signaler mieux.","Je ne sais pas ce qu'est l'association Vikidia.","0","Élève au collège","2021",NA,"sur wikipedia"
"456",460,9505528,"12/09/2021 - 21:11","12/09/2021 - 21:11","12/09/2021 - 21:11",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Préfère ne pas le dire","Étudiant, élève","Collège",NA,NA,"X",NA,NA,NA,NA,"X","X","X","X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont tout à fait fiables","Elles sont suffisamment claires",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Cette application a des répercutions positives","Non",NA,"Trop jeune","2018","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,"Tout est parfait","Tout est parfait","0","Élève au collège","2018",NA,"wikipedia"
"457",461,9506125,"12/09/2021 - 22:48","12/09/2021 - 22:48","12/09/2021 - 22:48",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles",NA,NA,NA,NA,NA,"X","X","Je consulte les deux, mais il est plus facile de faire le tri avec les informations sur Vikidia, car elles sont moins nombreuses. C'est utile lorsque je dois faire de courtes biographies pour l'école.","Je ne commence pas par Vikidia, je vais sur Vikidia occasionnellement en plus d'autres informations.","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Moyenne","Très bonne","Moyenne","Plutôt mauvaise","Très bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Pas particulièrement.","Non",NA,"Parce que je suis mineure, et que je ne fais donc jamais de dons.",NA,"Bon",NA,"Non","Je ne fais pas partie de cette communauté, je ne peux donc y être intégrée :)","Je les connais mais je n'y ai jamais participé",NA,NA,NA,"X",NA,NA,NA,NA,"0","Élève au lycée",NA,NA,"je ne commence pas par vikidia, je vais sur vikidia occasionnellement en plus d'autres informations."
"458",462,9506162,"12/09/2021 - 22:58","12/09/2021 - 22:58","12/09/2021 - 22:58",0,"0.0.0.0",0,"Anonymous","masculin","Entre 36 et 50 ans","En activité",NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia pour la première fois",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Google","Les articles de Vikidia sont plutôt fiables","Elles sont suffisamment claires",NA,"Moyenne","Moyenne","Moyenne","Plutôt bonne","Moyenne","Moyenne",NA,"X",NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","je ne pensepas","Non",NA,"mal renseigné","2021","Moyen",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,"X",NA,NA,NA,NA,"0","En activité","2021",NA,"google"
"459",463,9506224,"12/09/2021 - 23:21","12/09/2021 - 23:21","12/09/2021 - 23:21",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,"X",NA,NA,"X",NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipédia cela peut-être plus complet du coup","Les articles de Vikidia sont tout à fait fiables","Il existe des pages d'aide ??",NA,"Très bonne","Très bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Positive, ça m'aide beaucoup pour mes devoirs, recherches, exposés","Non",NA,"J'ai pas d'argent à mon âge","je ne sais plus","Bon",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève au lycée",NA,NA,"wikipedia cela peut-etre plus complet du coup"
"460",464,9506462,"13/09/2021 - 03:06","13/09/2021 - 03:06","13/09/2021 - 03:06",0,"0.0.0.0",0,"Anonymous","féminin","Plus de 60 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,"X","Recherches personnelles à thème en français","Consulte Vikidia pour la première fois","La présentation attractive et les photos",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Première utilisation",NA,NA,NA,NA,NA,"X","Très accessibles","X",NA,NA,NA,NA,NA,"X","J'y ai trouvé ce que je voulais","Je navigue sur le net","Les articles de Vikidia sont tout à fait fiables","Il existe des pages d'aide ??",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","C'est à dire ?","Non",NA,"Bonne question, je viens d'utiliser le site pour la première fois","2021","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,"X",NA,NA,NA,NA,NA,NA,"0","En activité","2021",NA,"je navigue sur le net"
